SNO,BHK,Sq. ft.,Crime rate(%),Distance from Hospital,Distance from Workplace, Distance from Market,Distance from Rly. Station,Rent
2097,1,404,22,6,4,2,10,4816
2098,1,540,5,9,2,2,9,6040
2099,3,1291,1,10,10,1,2,11645
2100,3,1246,40,4,5,1,5,12946
2101,1,460,14,4,2,8,5,4873
2102,3,1119,39,10,10,8,6,13710
2103,1,354,16,1,1,2,1,4401
2104,1,385,27,3,1,9,3,4012
2105,3,1218,16,8,6,10,5,13042
2106,2,487,10,1,3,10,5,4992
2107,3,1244,27,8,5,3,8,13711
2108,2,543,19,1,10,3,2,6373
2109,2,469,8,1,1,7,7,5025
2110,3,837,34,7,9,9,6,8045
2111,2,380,15,7,7,7,5,4042
2112,2,447,27,5,2,4,5,5274
2113,3,1171,31,8,5,7,6,11683
2114,2,357,18,2,6,4,3,3777
2115,2,620,20,8,5,10,6,6551
2116,2,554,31,9,7,9,2,6691
2117,2,451,32,1,6,10,3,4749
2118,2,573,29,8,2,1,7,6550
2119,2,423,6,5,9,6,4,5074
2120,1,434,10,10,10,5,9,5434
2121,2,469,2,5,2,9,5,4797
2122,1,582,13,6,8,8,2,6585
2123,1,410,1,9,9,2,6,4862
2124,3,1254,15,7,4,2,7,13695
2125,3,1037,4,6,5,1,10,13877
2126,2,637,40,6,4,7,5,6766
2127,3,1292,11,4,3,10,10,12780
2128,3,1045,8,10,5,9,7,12634
2129,1,422,26,6,2,4,8,4705
2130,1,563,11,10,9,8,9,6928
2131,2,553,13,5,5,3,8,6197
2132,2,532,8,5,10,6,7,6815
2133,1,533,28,5,3,9,9,6222
2134,3,1320,5,6,5,4,8,11621
2135,3,1205,6,7,7,3,8,12643
2136,1,502,16,9,4,7,6,6168
2137,1,500,3,6,7,8,10,4798
2138,2,597,28,7,9,2,5,6646
2139,3,1397,19,6,9,5,7,13685
2140,1,593,4,7,1,1,5,6281
2141,3,1363,36,2,6,8,6,13764
2142,3,1316,25,5,5,6,6,11611
2143,2,390,31,10,4,10,3,3859
2144,2,581,29,8,7,7,5,6349
2145,3,984,39,3,9,2,10,11484
2146,3,1201,12,3,8,4,6,13683
2147,2,574,18,4,3,6,3,6091
2148,3,865,5,9,8,2,9,10392
2149,3,932,15,10,3,5,7,9358
2150,1,545,19,1,6,10,1,6884
2151,2,533,22,3,10,5,7,6540
2152,1,493,3,7,1,7,3,4623
2153,2,396,9,4,3,9,4,4328
2154,1,552,11,7,3,10,1,6009
2155,1,415,30,10,4,9,10,5015
2156,1,632,20,5,2,7,8,6756
2157,2,531,2,5,5,6,10,6229
2158,1,602,36,7,8,2,10,6002
2159,1,471,24,10,8,5,6,5448
2160,1,576,8,4,9,2,3,6860
2161,2,555,19,5,10,1,9,6512
2162,3,1070,29,2,2,4,5,11958
2163,2,460,29,8,8,9,4,4640
2164,2,357,2,3,6,3,10,4370
2165,3,1329,22,7,1,10,7,13987
2166,2,501,5,6,3,1,8,4719
2167,1,583,18,4,2,10,4,6798
2168,2,423,11,10,4,3,2,4659
2169,3,979,11,1,10,3,9,10831
2170,1,416,11,1,7,9,9,5464
2171,1,424,14,7,1,7,6,4864
2172,1,628,11,5,6,5,4,6063
2173,1,490,29,4,1,6,7,5044
2174,3,967,39,9,6,4,8,10081
2175,2,432,16,4,7,5,6,5181
2176,3,929,1,6,8,8,7,9861
2177,3,1181,15,9,7,2,4,12793
2178,3,1372,23,5,1,3,1,13272
2179,1,535,29,7,4,10,4,6378
2180,2,422,17,4,5,4,9,4522
2181,1,362,19,10,10,7,7,4138
2182,1,580,36,2,9,9,4,6519
2183,3,978,31,3,2,3,3,9117
2184,2,426,36,3,8,6,4,4608
2185,2,473,34,7,2,10,4,4928
2186,3,1317,27,4,7,7,7,13102
2187,3,909,7,1,3,8,7,9820
2188,3,1016,26,7,8,1,4,12119
2189,1,420,1,8,9,2,8,4976
2190,3,1042,38,10,7,7,7,12371
2191,1,358,5,5,3,6,1,4366
2192,3,922,31,2,6,4,1,10226
2193,3,1172,25,1,2,3,1,13429
2194,2,397,19,5,9,7,6,3936
2195,3,1128,32,1,7,6,3,11950
2196,3,1220,14,7,8,4,3,11669
2197,1,552,37,9,1,8,2,6485
2198,2,604,39,6,2,6,2,6220
2199,2,439,10,1,9,5,7,4991
2200,1,502,35,6,7,6,2,6399
2201,1,575,21,7,8,7,1,6373
2202,3,1094,25,2,8,1,8,12293
2203,1,432,12,7,5,1,8,5384
2204,1,636,6,10,3,9,4,6655
2205,1,444,25,6,4,10,10,4540
2206,1,550,3,3,8,10,3,6892
2207,1,391,19,2,10,10,8,4033
2208,1,493,30,10,10,2,10,4688
2209,3,1386,30,6,10,2,5,11864
2210,1,636,8,9,9,10,9,6204
2211,3,1347,26,4,3,8,4,11734
2212,2,608,21,10,8,10,9,6173
2213,2,483,27,3,4,10,2,5059
2214,3,808,2,1,3,2,6,8571
2215,3,878,20,10,7,5,3,10128
2216,3,899,19,3,10,7,10,10772
2217,2,421,23,1,4,1,4,4832
2218,1,360,13,6,5,7,4,3995
2219,2,354,13,10,6,5,2,4100
2220,1,586,26,10,9,4,6,6982
2221,2,639,19,10,6,3,4,6277
2222,3,1029,1,3,6,4,1,13525
2223,3,868,10,7,5,2,10,10338
2224,2,550,8,1,8,3,8,6237
2225,1,550,7,9,4,1,8,6182
2226,2,584,9,7,9,10,1,6543
2227,3,1394,8,10,1,10,1,13593
2228,2,452,34,3,4,1,6,5117
2229,3,944,35,9,5,1,2,10703
2230,3,1242,19,9,8,2,4,12041
2231,3,835,27,6,5,4,3,8531
2232,1,574,22,8,10,2,7,6592
2233,2,643,15,2,8,10,4,6520
2234,1,483,22,3,6,3,6,4846
2235,3,1251,23,4,7,10,7,11727
2236,1,612,24,2,4,8,6,6622
2237,2,525,25,7,10,3,1,6571
2238,3,896,19,3,10,10,3,10803
2239,2,571,7,2,5,7,10,6615
2240,1,412,1,9,5,9,1,4763
2241,1,631,1,6,8,7,9,6760
2242,3,945,27,8,4,4,3,10428
2243,2,612,24,10,9,6,5,6436
2244,3,871,25,6,1,6,6,11246
2245,3,1266,31,8,8,7,3,13705
2246,2,376,2,7,3,3,10,3860
2247,3,1330,12,1,3,3,9,13731
2248,2,441,15,6,7,7,10,4998
2249,2,372,5,10,2,4,7,4409
2250,1,553,14,7,4,3,3,6975
2251,1,517,11,2,2,2,2,6608
2252,2,624,28,9,2,1,10,6705
2253,3,1378,17,6,8,1,6,13354
2254,2,440,13,10,1,3,9,5090
2255,3,1177,16,2,1,8,8,12238
2256,3,1396,16,4,8,5,9,12819
2257,3,1355,38,7,10,7,3,12050
2258,3,922,23,6,9,1,8,9219
2259,3,986,25,4,8,6,1,9396
2260,2,579,14,4,8,4,6,6376
2261,3,933,31,8,9,9,6,9714
2262,2,625,16,6,2,8,7,6829
2263,3,1115,40,10,10,5,10,11691
2264,3,869,36,3,5,6,4,10007
2265,3,938,38,2,7,2,9,10508
2266,1,400,29,3,7,1,4,4285
2267,3,1380,22,7,9,5,3,11907
2268,1,618,15,8,8,6,7,6121
2269,2,412,27,9,8,3,9,5330
2270,1,582,20,3,5,3,1,6365
2271,3,1330,14,8,10,4,2,13325
2272,1,414,27,2,3,4,7,4989
2273,3,1306,8,5,4,10,8,13160
2274,3,820,18,2,6,5,5,7348
2275,2,409,10,6,2,9,5,4560
2276,1,567,33,5,1,9,7,6880
2277,1,435,12,9,10,10,8,5413
2278,2,380,4,4,10,2,2,4234
2279,1,394,11,9,4,1,9,4225
2280,2,498,33,10,9,4,3,5468
2281,3,1000,8,9,4,9,4,11192
2282,1,561,15,8,8,8,10,6101
2283,3,1338,24,3,6,8,8,13434
2284,2,405,35,9,10,10,3,5224
2285,1,634,19,2,4,3,9,6045
2286,3,987,1,4,7,3,8,10452
2287,1,355,6,3,5,9,9,4281
2288,3,1233,2,4,3,10,3,12528
2289,3,1086,27,6,10,8,9,13594
2290,2,582,4,3,5,9,6,6923
2291,2,540,2,4,4,3,9,6309
2292,3,929,18,6,7,5,5,11494
2293,2,468,4,1,3,6,5,5260
2294,2,440,10,4,7,7,10,4679
2295,2,427,14,7,10,2,8,4707
2296,2,611,3,2,1,10,1,6079
2297,1,355,16,9,9,6,3,4137
2298,2,509,21,4,1,4,9,6799
2299,3,1382,35,7,10,1,3,11550
2300,2,639,4,1,3,9,2,6948
2301,2,468,5,10,6,3,10,5456
2302,1,350,2,6,6,10,2,3711
2303,3,818,19,1,4,7,9,8089
2304,3,1244,8,2,10,5,8,12698
2305,2,568,33,10,4,6,5,6499
2306,2,621,20,3,7,8,3,6917
2307,2,516,23,6,4,2,5,6556
2308,2,595,20,7,1,6,5,6824
2309,1,546,39,5,3,4,9,6986
2310,2,537,36,3,2,6,9,6993
2311,2,473,40,1,1,1,4,4758
2312,2,606,4,7,1,6,9,6065
2313,2,634,20,3,5,8,9,6033
2314,3,1358,8,10,2,5,2,13172
2315,3,1029,27,7,7,9,4,12495
2316,1,567,39,7,3,2,6,6560
2317,1,419,5,2,6,1,6,4933
2318,2,455,26,4,4,5,5,4610
2319,1,617,34,9,4,8,8,6956
2320,1,469,30,1,9,3,4,5224
2321,1,537,1,2,7,3,8,6137
2322,2,592,20,9,10,5,8,6880
2323,3,1159,34,4,5,7,10,11970
2324,3,879,35,4,9,5,2,9060
2325,2,573,23,2,9,10,4,6844
2326,1,351,5,10,9,9,4,4242
2327,2,623,2,3,3,1,1,6220
2328,3,935,7,3,9,6,5,10979
2329,2,532,28,7,5,1,3,6417
2330,2,413,11,4,2,7,3,5363
2331,2,603,9,1,7,1,7,6670
2332,1,629,26,3,2,6,1,6024
2333,1,400,34,5,5,6,8,4456
2334,1,388,32,10,9,9,7,3740
2335,2,396,37,7,10,2,8,3785
2336,3,1061,18,5,6,8,4,13960
2337,3,1065,14,5,6,4,5,12156
2338,3,942,40,8,1,4,9,11207
2339,2,650,8,7,7,10,9,6235
2340,2,437,39,6,6,4,5,4760
2341,3,881,11,1,3,1,9,9756
2342,3,1168,18,7,3,10,8,13535
2343,2,523,13,7,9,7,7,6533
2344,3,1392,25,1,3,5,1,12568
2345,2,471,11,1,2,5,5,5376
2346,3,1107,14,2,3,1,9,13247
2347,1,351,26,8,6,9,9,4115
2348,3,1295,29,5,2,7,4,13187
2349,3,1160,16,4,3,7,8,12882
2350,1,565,23,2,2,1,3,6970
2351,2,614,40,1,9,3,5,6629
2352,2,436,9,2,10,6,10,4587
2353,3,859,3,5,3,5,4,10177
2354,2,373,11,6,5,10,6,4101
2355,3,1291,36,8,5,10,8,13591
2356,3,1037,7,3,6,1,6,11773
2357,2,471,8,5,2,5,9,4509
2358,3,995,39,4,3,1,9,11384
2359,2,641,7,8,2,10,5,6827
2360,2,545,20,10,4,2,6,6957
2361,2,644,13,8,10,1,8,6384
2362,3,908,2,1,9,10,1,10700
2363,1,648,6,10,7,4,10,6411
2364,1,562,31,3,6,6,7,6412
2365,3,907,37,4,6,2,2,10166
2366,3,1045,22,2,3,6,4,12736
2367,2,533,17,6,10,2,7,6058
2368,3,1013,35,7,10,3,8,12841
2369,3,848,33,4,7,1,5,7918
2370,3,932,15,10,5,4,6,9254
2371,3,1386,6,7,1,8,10,13095
2372,2,563,9,10,2,10,4,6480
2373,2,466,32,3,7,5,7,5455
2374,2,586,37,9,2,5,2,6248
2375,3,966,38,7,2,5,5,10054
2376,3,1284,36,4,1,5,7,12838
2377,2,598,29,1,3,4,3,6135
2378,3,920,31,2,3,1,10,9924
2379,3,1174,21,1,10,1,2,13651
2380,1,569,39,3,4,1,1,6492
2381,2,520,27,1,10,2,10,6455
2382,2,473,35,5,6,10,6,4634
2383,1,359,26,2,7,7,2,3770
2384,1,541,18,8,7,8,2,6458
2385,2,635,24,7,6,6,3,6485
2386,1,565,2,10,3,9,4,6627
2387,2,636,8,6,7,5,1,6577
2388,3,1043,35,8,6,9,6,12727
2389,3,1276,29,9,1,4,8,12583
2390,3,1352,2,7,1,8,3,12587
2391,2,560,33,8,2,9,7,6103
2392,3,864,37,5,5,9,7,9369
2393,1,629,39,7,8,1,4,6333
2394,1,441,26,4,9,5,5,4840
2395,1,520,39,5,3,9,7,6653
2396,2,627,36,2,2,5,8,6349
2397,2,419,3,8,8,7,9,4901
2398,2,547,4,3,5,1,3,6338
2399,3,1183,34,2,2,9,9,12626
2400,2,479,20,8,4,1,10,4903
2401,2,487,10,10,2,2,5,5176
2402,2,427,13,4,4,1,9,4648
2403,3,1157,37,1,9,8,8,13046
2404,1,551,32,2,3,9,5,6820
2405,1,445,22,3,6,9,5,4893
2406,3,1160,17,6,8,1,6,13765
2407,1,649,12,9,6,8,10,6656
2408,2,427,40,5,6,2,9,4577
2409,1,573,2,6,9,3,2,6834
2410,1,440,9,4,6,10,8,5374
2411,1,415,17,9,5,4,10,4788
2412,3,1366,31,2,8,6,3,13886
2413,3,1141,13,5,7,10,6,12148
2414,2,417,10,4,6,3,5,5473
2415,2,608,38,6,3,4,3,6782
2416,1,543,6,4,7,10,9,6572
2417,3,907,32,3,4,7,6,10533
2418,3,1090,24,2,6,5,7,12434
2419,2,396,17,2,9,7,5,3767
2420,2,408,15,2,2,3,2,4845
2421,2,536,17,4,8,4,5,6270
2422,1,600,16,6,8,10,10,6149
2423,2,587,7,2,1,10,8,6207
2424,2,445,16,3,8,8,4,4833
2425,3,1278,15,3,3,10,5,11638
2426,1,397,18,10,6,1,10,4408
2427,3,866,32,10,9,8,10,11026
2428,2,362,24,3,7,9,7,3790
2429,1,557,30,4,2,9,8,6107
2430,3,1263,24,4,6,10,6,12948
2431,1,386,26,10,8,1,7,4027
2432,2,454,20,9,6,3,2,4763
2433,3,1347,2,10,3,4,8,11875
2434,2,533,22,9,9,3,5,6450
2435,2,583,21,6,9,1,9,6724
2436,1,603,36,1,4,7,7,6383
2437,2,442,8,4,6,6,2,4542
2438,1,388,16,6,5,1,5,3803
2439,2,533,7,1,6,3,8,6635
2440,1,469,21,10,2,6,9,5434
2441,1,585,12,8,1,2,6,6554
2442,2,420,36,1,2,10,4,4873
2443,1,378,9,4,4,10,7,4351
2444,3,1255,28,5,10,3,10,12683
2445,3,1348,23,3,5,8,8,13769
2446,1,398,39,4,10,6,10,3958
2447,3,855,14,1,6,5,4,9057
2448,2,609,4,5,7,6,4,6857
2449,1,462,22,1,8,1,8,4892
2450,3,1370,15,3,6,2,3,12240
2451,1,422,29,4,8,8,9,5057
2452,1,363,30,5,3,6,10,3750
2453,3,1182,29,6,5,10,9,12532
2454,3,1062,36,1,1,9,3,13251
2455,1,588,18,10,4,9,1,6322
2456,1,452,1,8,2,4,1,5211
2457,3,802,4,3,6,3,3,7449
2458,1,633,18,6,3,9,9,6620
2459,1,573,20,5,7,10,5,6676
2460,2,621,8,7,4,4,4,6380
2461,2,548,3,1,7,7,3,6700
2462,2,488,40,6,8,8,5,5389
2463,3,1209,26,10,7,5,6,11551
2464,1,566,28,2,3,1,5,6425
2465,1,452,2,10,6,2,1,4954
2466,1,529,8,3,2,6,3,6008
2467,2,504,25,7,10,5,6,6393
2468,1,459,39,3,2,4,5,4959
2469,1,527,36,4,6,5,8,6963
2470,3,1101,31,6,8,4,6,11981
2471,1,517,25,3,10,2,5,6535
2472,2,490,3,2,1,7,6,4965
2473,3,849,26,8,3,7,3,7002
2474,1,578,15,10,3,6,2,6784
2475,1,563,30,1,6,3,10,6275
2476,2,533,40,1,6,2,2,6903
2477,1,392,2,6,5,4,1,4371
2478,3,1286,29,8,1,6,7,12252
2479,2,610,39,8,5,10,8,6605
2480,3,854,1,1,2,8,3,9010
2481,3,933,12,3,4,4,5,10627
2482,2,628,15,1,9,9,8,6177
2483,2,544,16,1,4,3,9,6744
2484,3,1119,12,5,9,2,5,13082
2485,1,632,18,3,1,5,10,6283
2486,2,390,26,5,6,5,9,4365
2487,1,352,19,10,10,3,7,3746
2488,2,451,5,1,9,8,7,5460
2489,1,622,28,3,3,8,4,6342
2490,1,350,7,2,2,2,10,3944
2491,2,649,8,5,5,10,9,6246
2492,3,1293,27,2,1,6,2,12954
2493,3,1101,31,1,7,6,9,12188
2494,2,582,24,10,10,7,1,6445
2495,1,583,17,4,10,6,1,6876
2496,3,1048,23,4,1,3,4,13315
2497,3,1344,38,8,5,9,1,12604
2498,1,392,37,7,4,4,2,4267
2499,1,402,32,6,1,5,4,5416
2500,1,632,19,9,5,1,9,6793
2501,1,437,27,9,6,3,7,5000
2502,2,589,6,9,4,2,2,6905
2503,1,521,21,8,10,1,10,6708
2504,2,452,2,1,2,10,4,5020
2505,1,414,12,2,2,9,8,5455
2506,3,1197,26,3,4,1,10,13106
2507,2,575,18,2,3,7,3,6453
2508,3,956,2,9,9,3,10,9304
2509,1,563,40,7,9,1,5,6135
2510,2,540,24,5,5,10,1,6050
2511,2,403,30,6,3,2,7,4558
2512,2,547,11,6,9,6,7,6637
2513,1,579,9,8,7,6,8,6684
2514,1,582,38,7,5,2,3,6148
2515,1,393,4,2,9,6,5,3819
2516,2,497,4,1,8,1,10,5315
2517,3,1325,17,6,10,9,7,13407
2518,1,372,36,8,6,2,4,4483
2519,1,614,3,6,1,8,10,6791
2520,2,636,15,10,7,5,5,6869
2521,3,1160,4,5,9,5,3,13630
2522,1,621,35,10,1,8,1,6410
2523,2,623,37,8,6,3,9,6200
2524,3,1004,39,10,4,5,10,12673
2525,2,548,39,2,8,9,1,6984
2526,2,472,28,9,8,8,7,4664
2527,1,575,7,10,3,10,2,6496
2528,2,359,24,3,6,8,9,4414
2529,1,361,24,9,7,7,7,3719
2530,2,491,39,6,6,1,4,4678
2531,1,432,8,8,8,10,2,5474
2532,2,572,29,10,10,4,1,6005
2533,2,646,32,4,9,3,6,6049
2534,2,616,31,4,1,6,1,6187
2535,3,897,40,8,2,2,6,9237
2536,2,361,33,1,8,6,4,4341
2537,3,1103,22,3,6,10,3,12112
2538,3,1341,35,3,3,9,4,13553
2539,2,594,39,4,3,5,10,6148
2540,1,378,1,4,10,8,9,3729
2541,2,625,4,4,1,2,3,6652
2542,1,448,2,2,4,10,1,5198
2543,3,1333,15,3,5,4,2,12809
2544,1,570,18,5,8,6,8,6084
2545,1,613,17,6,8,6,8,6585
2546,1,378,30,5,10,7,6,4217
2547,1,497,32,3,9,8,3,4657
2548,2,578,9,6,4,6,8,6051
2549,1,482,40,1,8,5,2,4527
2550,3,890,19,1,5,3,5,9629
2551,3,1367,13,3,5,9,10,13511
2552,1,545,16,4,8,1,4,6116
2553,3,1183,6,10,1,6,10,12660
2554,2,382,10,7,10,3,8,4235
2555,2,412,24,4,3,4,8,5361
2556,3,1293,28,1,1,7,5,11571
2557,1,499,11,1,8,3,8,5299
2558,1,395,11,10,10,1,8,4411
2559,3,1253,32,5,1,7,3,12094
2560,3,1131,1,9,5,7,7,11969
2561,2,552,2,10,8,4,2,6581
2562,1,438,18,5,10,4,10,5131
2563,3,1039,25,3,7,9,3,12553
2564,2,404,36,2,6,3,6,5247
2565,2,510,40,8,2,1,7,6549
2566,2,641,36,3,1,2,5,6046
2567,1,512,11,8,9,7,2,6939
2568,3,1181,5,5,6,1,10,13387
2569,1,528,15,8,2,3,6,6032
2570,2,478,1,8,10,8,8,4513
2571,1,391,10,10,8,3,2,4128
2572,1,565,25,9,6,3,6,6044
2573,2,547,31,3,10,2,6,6507
2574,1,438,16,9,10,10,9,5220
2575,3,1322,6,8,4,8,3,12511
2576,1,391,10,3,4,9,10,3801
2577,1,579,8,5,6,8,1,6481
2578,1,423,26,7,1,7,10,5021
2579,1,565,17,9,4,9,2,6486
2580,2,411,5,6,4,8,3,4610
2581,2,476,28,3,1,6,7,5302
2582,2,422,11,8,2,8,5,5261
2583,3,1179,6,6,1,3,4,13134
2584,2,632,19,7,9,7,5,6129
2585,2,412,10,8,4,1,5,5183
2586,2,438,10,10,7,10,2,4930
2587,3,853,19,6,5,7,3,11324
2588,3,1139,2,5,4,3,9,12128
2589,2,376,25,7,2,1,4,4097
2590,3,1198,24,9,1,5,3,13030
2591,3,807,28,7,9,7,6,7299
2592,2,641,30,7,8,8,1,6631
2593,1,389,10,2,5,10,7,4477
2594,2,438,34,1,7,5,8,5233
2595,2,556,35,5,9,6,8,6409
2596,2,467,15,6,10,5,1,4513
2597,3,825,17,10,2,9,2,8460
2598,1,513,38,3,3,9,4,6336
2599,3,1013,22,6,2,2,9,12845
2600,2,520,8,7,9,3,4,6193
2601,2,649,17,5,2,9,1,6552
2602,1,548,35,7,10,1,3,6626
2603,2,581,33,9,4,5,5,6233
2604,3,979,11,2,2,4,7,9193
2605,1,429,9,8,5,2,5,4805
2606,2,547,6,9,10,9,5,6195
2607,1,611,26,1,9,1,4,6353
2608,3,922,22,7,10,5,6,9938
2609,1,420,3,9,5,8,9,4737
2610,1,477,37,2,6,6,4,4937
2611,1,567,13,10,3,4,10,6305
2612,1,486,22,10,1,6,2,4808
2613,2,544,23,7,5,1,10,6213
2614,1,387,18,1,10,9,10,4447
2615,3,859,36,9,10,6,10,9648
2616,2,533,24,10,8,8,8,6172
2617,3,1033,18,2,1,4,3,11865
2618,3,1383,12,6,3,6,10,13582
2619,2,354,17,4,4,9,2,3758
2620,3,1198,16,6,9,5,8,13231
2621,3,1355,30,10,9,8,10,12599
2622,1,451,25,10,9,9,5,4561
2623,3,989,3,10,7,2,5,10858
2624,1,422,33,8,6,7,4,4566
2625,1,442,25,4,10,1,9,5485
2626,1,588,31,9,7,1,6,6695
2627,3,1172,5,6,10,3,2,13760
2628,2,417,21,7,3,2,2,4642
2629,2,359,11,9,3,1,1,3901
2630,1,632,21,8,3,7,8,6956
2631,3,810,33,3,6,4,3,8218
2632,2,354,6,9,8,5,3,4146
2633,3,1025,38,8,7,9,1,12920
2634,1,419,39,4,2,7,9,5096
2635,2,439,24,4,3,9,10,4951
2636,1,472,28,7,2,4,6,5025
2637,2,388,37,5,6,10,2,3954
2638,2,381,18,2,5,7,5,4296
2639,3,960,15,1,1,6,2,9974
2640,3,832,19,6,1,4,5,7114
2641,1,410,32,3,1,8,8,5269
2642,1,483,35,3,3,6,6,5152
2643,2,542,33,4,7,9,2,6828
2644,2,585,10,7,7,1,8,6045
2645,3,907,9,6,6,10,2,11182
2646,2,569,25,3,6,1,10,6622
2647,3,1104,6,8,3,4,8,13827
2648,2,649,27,6,5,4,3,6275
2649,3,801,33,9,8,3,5,8846
2650,2,552,27,6,6,3,6,6394
2651,3,856,39,8,6,3,1,9173
2652,3,1349,14,3,7,8,4,12525
2653,2,441,3,8,2,2,5,4549
2654,1,458,19,8,2,8,5,5360
2655,3,1244,5,7,7,9,8,13864
2656,2,366,34,2,8,10,4,3961
2657,2,392,34,8,2,9,8,3829
2658,3,1018,35,7,2,8,10,12944
2659,3,1080,6,8,9,8,3,13585
2660,2,596,1,9,6,5,6,6174
2661,2,548,34,7,8,8,10,6848
2662,2,532,5,9,4,4,6,6206
2663,3,1282,2,3,10,5,8,13150
2664,1,623,3,9,5,4,5,6044
2665,1,572,13,2,5,2,1,6491
2666,1,639,40,3,9,8,10,6224
2667,1,424,2,5,5,6,6,4738
2668,1,436,14,3,6,4,8,4784
2669,3,1307,10,4,1,6,7,11898
2670,3,1023,5,9,3,4,1,12793
2671,3,935,4,1,10,4,9,10598
2672,3,1208,34,8,4,1,1,11827
2673,2,577,14,9,5,10,6,6602
2674,2,365,25,8,7,9,9,3978
2675,3,1019,34,2,1,10,4,12532
2676,3,1334,34,3,6,1,3,12605
2677,2,406,3,9,8,6,1,4732
2678,2,492,27,1,8,2,9,4673
2679,3,1184,37,2,4,8,5,13218
2680,1,499,24,5,9,5,1,4906
2681,2,394,21,6,1,4,2,3970
2682,3,1232,8,1,1,6,2,13879
2683,3,1183,15,10,4,3,9,13794
2684,2,568,32,4,8,1,8,6603
2685,3,1144,22,8,3,10,9,12352
2686,1,360,11,6,6,4,1,4049
2687,3,875,36,8,6,5,7,10578
2688,3,1277,8,3,4,4,9,11845
2689,2,508,24,3,8,9,3,6036
2690,3,803,32,4,1,7,6,7711
2691,2,567,31,10,6,9,4,6867
2692,1,417,11,2,7,2,7,4721
2693,3,1156,14,4,9,2,7,13276
2694,3,877,13,8,8,7,6,10476
2695,2,502,39,6,2,2,6,6181
2696,1,531,23,8,6,3,1,6376
2697,3,1218,8,1,10,8,2,12639
2698,3,1130,18,9,3,9,1,12079
2699,1,492,34,9,9,2,5,4618
2700,2,647,3,1,3,7,8,6530
2701,3,1382,33,2,4,5,6,12875
2702,2,560,32,3,8,2,9,6087
2703,3,1089,13,10,1,8,5,13271
2704,2,357,12,6,7,3,10,3933
2705,2,385,12,10,10,7,1,4137
2706,3,1137,14,10,5,5,5,12579
2707,2,400,34,2,7,7,3,4203
2708,1,485,32,1,6,3,3,5155
2709,3,1072,33,5,6,9,10,13118
2710,1,420,16,8,7,6,6,5234
2711,1,476,6,2,8,4,6,4791
2712,2,594,28,8,7,3,9,6238
2713,3,1071,22,3,4,7,8,12176
2714,3,1226,8,4,6,9,1,11834
2715,1,527,16,2,3,10,7,6372
2716,1,442,26,8,8,2,4,4980
2717,1,429,20,9,7,1,1,4944
2718,1,427,31,7,3,1,10,4536
2719,1,366,39,10,4,4,8,4344
2720,1,650,30,10,6,2,8,6019
2721,3,1314,16,3,6,3,10,12617
2722,2,510,9,10,6,8,8,6954
2723,1,579,31,8,1,1,2,6228
2724,3,999,22,8,7,3,4,10555
2725,2,387,25,9,1,1,5,4167
2726,3,888,33,3,10,6,1,10391
2727,2,457,35,3,7,2,5,4701
2728,2,636,39,4,7,1,6,6199
2729,1,500,39,10,10,10,9,4607
2730,2,572,23,2,4,3,3,6484
2731,1,497,11,9,5,7,7,5013
2732,1,385,7,6,8,8,1,4151
2733,2,603,16,1,2,5,10,6966
2734,2,352,4,5,4,3,9,3974
2735,1,556,23,8,3,5,6,6992
2736,2,391,24,9,4,8,4,4302
2737,1,497,28,8,2,4,3,5052
2738,3,1049,5,8,3,9,3,13192
2739,2,489,11,10,9,2,2,5170
2740,3,1151,28,8,2,4,9,12164
2741,1,475,26,10,5,3,3,5494
2742,1,431,39,3,2,9,4,5495
2743,1,476,40,5,7,2,3,4701
2744,2,584,21,9,5,8,9,6456
2745,2,367,14,2,5,5,1,3849
2746,1,420,35,4,10,10,1,4777
2747,3,1168,8,6,6,4,6,13540
2748,1,646,35,6,5,4,10,6621
2749,1,442,35,2,1,4,6,5492
2750,3,1300,30,4,2,5,4,13380
2751,2,485,21,4,9,8,4,5035
2752,3,1145,38,6,6,1,7,13893
2753,3,1162,35,9,7,8,9,11619
2754,3,1048,29,2,2,3,9,12255
2755,1,599,7,8,4,3,5,6450
2756,2,584,40,9,7,9,9,6967
2757,1,604,7,5,6,7,6,6029
2758,3,1148,10,5,5,6,2,11715
2759,1,608,15,2,2,9,9,6944
2760,2,492,2,4,5,4,5,4504
2761,1,558,34,3,4,5,8,6742
2762,2,625,12,2,6,2,9,6423
2763,1,417,26,2,2,8,8,5228
2764,3,1022,27,1,1,8,7,13864
2765,1,628,31,9,8,9,9,6254
2766,2,353,24,4,5,2,5,4273
2767,1,493,17,5,1,2,8,5165
2768,2,372,30,9,8,5,2,3902
2769,3,1338,8,5,6,3,4,13858
2770,1,621,11,1,3,7,9,6381
2771,2,488,21,9,4,10,1,5349
2772,1,428,27,8,10,8,6,5304
2773,3,1047,39,8,9,9,8,11783
2774,1,559,5,9,1,2,8,6758
2775,1,575,31,2,7,1,8,6083
2776,3,1098,37,8,7,1,3,12642
2777,3,970,3,7,3,2,5,10462
2778,1,351,37,1,4,4,9,3750
2779,2,610,31,6,7,4,1,6608
2780,1,500,34,9,6,4,4,4613
2781,1,577,6,4,10,1,1,6859
2782,3,1052,2,5,4,10,9,13232
2783,2,495,23,6,5,8,2,5475
2784,3,1351,14,4,3,2,2,11662
2785,3,909,32,4,8,10,4,9356
